PRODUCT_URL,PRODUCT_NAME,PRODUCT_PRICE,RATING,NO_OF_REVIEWS
https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1692681871&sprefix=ba%2Caps%2C283&sr=8-99,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,749,4.0 out of 5 stars,"6,454 ratings"
https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1692681871&sprefix=ba%2Caps%2C283&sr=8-100,F Gear String 11 Ltrs Nylon Black Gym Bag,190,4.0 out of 5 stars,591 ratings
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzU3NTkwNzA4NDExNTk4OjE2OTI2ODE4NzE6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_101_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692681871%26sprefix%3Dba%252Caps%252C283%26sr%3D8-101-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800.00",4.4 out of 5 stars,89 ratings
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzU3NTkwNzA4NDExNTk4OjE2OTI2ODE4NzE6c3BfYnRmOjIwMDk3NTc5NTAxNzk4OjowOjo&url=%2FUppercase-Medium-Laptop-Backpack-2100Ebp1%2Fdp%2FB0B691HSL3%2Fref%3Dsr_1_102_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692681871%26sprefix%3Dba%252Caps%252C283%26sr%3D8-102-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"1,000",4.2 out of 5 stars,179 ratings
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RKiye1Mqqz6qfv5CTdP5yjgAAAGKG7OhYwMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCItYf9/https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.880c6186-3832-495e-9caa-7ecfb2f5e88c%3Aamzn1.sym.880c6186-3832-495e-9caa-7ecfb2f5e88c&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07SRGGGNC&pd_rd_r=4c1b3a47-39e3-4968-a55d-d6054e12ad1a&pd_rd_w=OmuXZ&pd_rd_wg=sWBd5&pf_rd_p=880c6186-3832-495e-9caa-7ecfb2f5e88c&pf_rd_r=ZCKBDHWAWNDJWC5B0PPG&qid=1692681871&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-81-06195d41-65bd-48f4-8e70-03d97b6094ec,"Genie Miami Laptop Backpack for Women,Tuition bag, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",803,4.2 out of 5 stars,"1,484 ratings"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTU4NzA0NDk2MjYzNTk4OjE2OTI2ODIxNTg6c3BfYXRmX25leHQ6MjAwMzgzMDk3ODgyOTg6OjA6Og&url=%2FNumber-Backpack-Compartment-Charging-Organizer%2Fdp%2FB09VTDMRY7%2Fref%3Dsr_1_97_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692682158%26sprefix%3Dba%252Caps%252C283%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0 out of 5 stars,"5,610 ratings"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTU4NzA0NDk2MjYzNTk4OjE2OTI2ODIxNTg6c3BfYXRmX25leHQ6MjAxMzU0MDU4NjM4OTg6OjA6Og&url=%2FFUR-JADEN-Backpack-Compartment-Organizer%2Fdp%2FB0BYSZ3TKW%2Fref%3Dsr_1_98_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692682158%26sprefix%3Dba%252Caps%252C283%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",799,4.4 out of 5 stars,121 ratings
https://www.amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-99,"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey","1,999.00",4.4 out of 5 stars,"3,500 ratings"
https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-100,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","1,099.00",4.2 out of 5 stars,"1,460 ratings"
https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=sr_1_101?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-101,ADISA Women's Girls Party Sling Bag Crossbody,394,3.9 out of 5 stars,614 ratings
https://www.amazon.in/FUR-JADEN-Backpack-Compartment-Organizer/dp/B0BYSZ3TKW/ref=sr_1_102?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-102,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",799,4.4 out of 5 stars,121 ratings
https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_103?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-103,Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,"1,399.00",4.1 out of 5 stars,501 ratings
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964/ref=sr_1_104?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-104,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,499,3.9 out of 5 stars,"1,148 ratings"
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D3YR7T/ref=sr_1_105?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-105,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",399,4.2 out of 5 stars,115 ratings
https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9FLPNX/ref=sr_1_106?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-106,Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Orange),269,3.1 out of 5 stars,71 ratings
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTU4NzA0NDk2MjYzNTk4OjE2OTI2ODIxNTg6c3BfbXRmOjMwMDAzNjc3NDk4OTMzMjo6MDo6&url=%2FBackpack-Separate-Compartment-Folders-Multipurpose%2Fdp%2FB0CFHCPW7V%2Fref%3Dsr_1_107_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692682158%26sprefix%3Dba%252Caps%252C283%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"SAMRAT Laptop Backpack, Separate Compartment to Keep Files & Folders || College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop",759,Previous page,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTU4NzA0NDk2MjYzNTk4OjE2OTI2ODIxNTg6c3BfbXRmOjIwMTI3NjgzODcyMzk4OjowOjo&url=%2FUPPERCASE-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_108_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692682158%26sprefix%3Dba%252Caps%252C283%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",4.3 out of 5 stars,78 ratings
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_109?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-109,Gear Vintage2 28L Medium Size Faux Leather Water Resistant Anti Theft Unisex LaptopBackpack- Navy,969,4.4 out of 5 stars,"3,351 ratings"
https://www.amazon.in/Skybags-Unisex-Grey-Jacqard-Laptop/dp/B09ZV9SLBJ/ref=sr_1_110?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-110,Skybags Unisex Grey Jacqard 34L Laptop Bags,"1,079.00",4.1 out of 5 stars,85 ratings
https://www.amazon.in/Mokobara-Transit-Backpack-Laptop-Sunray/dp/B09V7R98XC/ref=sr_1_111?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-111,"MOKOBARA The Transit Backpack - 30L Premium Nylon 15.6"" Unisex Laptop Bag With Luggage Sleeve","4,999.00",4.5 out of 5 stars,652 ratings
https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGXXR5/ref=sr_1_112?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-112,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook","1,049",4.2 out of 5 stars,301 ratings
https://www.amazon.in/ZIPLINE-Polyester-Backpack-College-Outdoor/dp/B09XN3YD4Q/ref=sr_1_113?crid=2M096C61O4MLT&keywords=bags&qid=1692682158&sprefix=ba%2Caps%2C283&sr=8-113,Zipline Unisex Casual Polyester 36 L Blue Backpack School Bag Women Men Boys Girls College Bag,843,3.7 out of 5 stars,134 ratings
